Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,YearMonth
1,OD-000001,2021-05-10,2021-05-16,Same Day,Customer-0382,Customer-0382,Corporate,United States,San Diego,Illinois,94162,South,PROD-4243,Office Supplies,Paper,Paper - Item 79,761.76,7,0.1,95.55,2021-05
2,OD-000002,2033-10-04,2033-10-10,Same Day,Customer-0532,Customer-0532,Consumer,United States,San Diego,Texas,98503,South,PROD-1006,Technology,Phones,Phones - Item 68,54.33,1,0.0,186.66,2033-10
3,OD-000002,2033-10-04,2033-10-07,Standard Class,Customer-0532,Customer-0532,Corporate,United States,Houston,California,12011,Central,PROD-6546,Technology,Phones,Phones - Item 95,793.8,1,0.0,119.28,2033-10
4,OD-000003,2033-04-23,2033-04-27,Second Class,Customer-0956,Customer-0956,Consumer,United States,San Antonio,Texas,15744,East,PROD-7980,Office Supplies,Supplies,Supplies - Item 30,37.26,3,0.1,-16.05,2033-04
5,OD-000004,2033-03-19,2033-03-25,First Class,Customer-0152,Customer-0152,Home Office,United States,Los Angeles,Illinois,36417,West,PROD-7268,Technology,Accessories,Accessories - Item 15,492.97,5,0.05,-20.97,2033-03
6,OD-000004,2033-03-19,2033-03-21,Same Day,Customer-0152,Customer-0152,Consumer,United States,Chicago,Texas,33173,South,PROD-1785,Technology,Accessories,Accessories - Item 73,984.17,4,0.0,46.38,2033-03
7,OD-000005,2029-04-30,2029-05-05,Standard Class,Customer-0562,Customer-0562,Consumer,United States,New York,Arizona,86449,East,PROD-5916,Office Supplies,Supplies,Supplies - Item 87,446.04,2,0.2,-1.34,2029-04
8,OD-000005,2029-04-30,2029-05-01,Standard Class,Customer-0562,Customer-0562,Corporate,United States,San Antonio,Texas,84027,Central,PROD-1358,Office Supplies,Supplies,Supplies - Item 68,353.8,8,0.2,61.01,2029-04
9,OD-000005,2029-04-30,2029-05-02,First Class,Customer-0562,Customer-0562,Home Office,United States,Phoenix,New York,95090,South,PROD-9017,Office Supplies,Supplies,Supplies - Item 86,573.68,3,0.2,132.7,2029-04
10,OD-000005,2029-04-30,2029-05-04,Standard Class,Customer-0562,Customer-0562,Consumer,United States,Phoenix,Texas,85774,South,PROD-4162,Office Supplies,Supplies,Supplies - Item 98,724.92,6,0.2,136.47,2029-04
11,OD-000006,2027-06-20,2027-06-24,Standard Class,Customer-0689,Customer-0689,Corporate,United States,Los Angeles,Texas,23893,East,PROD-1882,Furniture,Chairs,Chairs - Item 19,517.77,4,0.05,72.85,2027-06
12,OD-000006,2027-06-20,2027-06-23,Standard Class,Customer-0689,Customer-0689,Corporate,United States,San Diego,Texas,30878,Central,PROD-3808,Furniture,Chairs,Chairs - Item 81,866.92,2,0.15,156.88,2027-06
13,OD-000006,2027-06-20,2027-06-24,First Class,Customer-0689,Customer-0689,Consumer,United States,Chicago,California,58456,South,PROD-1115,Furniture,Chairs,Chairs - Item 45,444.76,1,0.0,173.27,2027-06
